Command 1,Command 2,key,Press key
corra,frente,W,yes
volte,atras,S,yes
-,-,A,no
-,-,D,no
habilidade,-,Q,no
trocar,-,E,no
recarregar,-,R,no
falar,time,T,yes
pular,espaco,Espace,yes
xiu,silencio,Ctrl,yes
rapido,-,Shift,yes
item,-,Tab,no
-,-,Z,no
-,-,X,no
-,-,C,no
-,-,V,no
-,-,F,no
arma,-,1,no
-,-,2,no
bola,-,3,yes
arma,popo,4,no
bicoitop,-,5,yes
