Command 1,Command 2,key,Press key
cima,-,W,yes
baixo,-,S,yes
esquerda,-,A,yes
direita,-,D,yes
-,-,Q,no
-,-,E,no
-,-,R,no
-,-,T,no
pule,atire,Space,no
agache,-,Ctrl,yes
corra,-,Shift,no
-,-,Tab,no
-,-,Z,no
-,-,X,no
-,-,C,no
-,-,V,no
luz,-,F,no
-,-,1,no
-,-,2,no
-,-,3,no
-,-,4,no
-,-,5,no
