Command 1,Command 2,key,Press key
-,-,W,no
agache,-,S,yes
esquerda,-,A,yes
direita,corra,D,yes
-,-,Q,no
-,-,E,no
-,-,R,no
-,-,T,no
pule,espaço,Space,no
-,-,Ctrl,no
atire,-,Shift,no
-,-,Tab,no
-,-,Z,no
-,-,X,no
-,-,C,no
-,-,V,no
-,-,F,no
-,-,1,no
-,-,2,no
-,-,3,no
-,-,4,no
-,-,5,no
